candidate,episode_id,outcome,relative_query,query,eef_displacement_from_event_m,pot_displacement_from_event_m,eef_pot_separation_m,coupling_ratio_pot_over_eef,gripper_command_mean
3,100000003,success,-2,27,0.056984640657901764,0.005098837893456221,0.12235970795154572,0.08947740715022288,-0.9943739771842957
3,100000003,success,-1,28,0.016771238297224045,0.007053502835333347,0.07630994915962219,0.4205713800215238,-0.3976532816886902
3,100000003,success,0,29,0.0,0.0,0.06859559565782547,0.0,0.9841141700744629
3,100000003,success,1,30,0.009575081057846546,0.007279632613062859,0.07130593061447144,0.7602685104265907,0.9844910502433777
3,100000003,success,2,31,0.054966412484645844,0.04747879505157471,0.06939660012722015,0.8637783130714105,1.006372332572937
3,100000003,success,3,32,0.1382935792207718,0.13243958353996277,0.06889266520738602,0.9576697941163002,1.0215940475463867
3,100000003,success,4,33,0.23186056315898895,0.22674308717250824,0.06893827766180038,0.9779286485085796,1.0289804935455322
3,100000003,success,5,34,0.31630900502204895,0.310622900724411,0.06951309740543365,0.9820235775543552,1.0042436122894287
3,100000003,success,6,35,0.37688788771629333,0.3698079288005829,0.07042890787124634,0.9812146817489662,0.9796611666679382
3,100000003,success,7,36,0.40681537985801697,0.39820384979248047,0.07164382934570312,0.9788318473393459,0.9713324308395386
3,100000003,success,8,37,0.42732924222946167,0.4198216199874878,0.0722980722784996,0.9824312930170538,0.9705851674079895
4,100000004,success,-4,29,0.1694602519273758,0.002936269622296095,0.23035728931427002,0.017327187873852967,-0.9951314926147461
4,100000004,success,-3,30,0.11205562204122543,0.002936269622296095,0.17387531697750092,0.026203679644166686,-1.0040318965911865
4,100000004,success,-2,31,0.05988309159874916,0.002936269622296095,0.12433729320764542,0.04903336724781637,-0.9972776174545288
4,100000004,success,-1,32,0.01979886367917061,0.0038653630763292313,0.08380802720785141,0.19523156171814982,-0.19981920719146729
4,100000004,success,0,33,0.0,0.0,0.06907776743173599,0.0,0.9879409074783325
4,100000004,success,1,34,0.011869379319250584,0.0068392446264624596,0.0716017335653305,0.5762091211770525,0.9867757558822632
4,100000004,success,2,35,0.059387825429439545,0.050046250224113464,0.06966879963874817,0.8427021845340156,1.0134727954864502
4,100000004,success,3,36,0.142551988363266,0.134292334318161,0.06926285475492477,0.9420586542500069,1.015403389930725
4,100000004,success,4,37,0.229070782661438,0.2214922308921814,0.06934106349945068,0.9669161135208695,1.0179765224456787
4,100000004,success,5,38,0.3077976107597351,0.30068692564964294,0.07000818103551865,0.9768981796429774,1.0077674388885498
4,100000004,success,6,39,0.3737383484840393,0.36679524183273315,0.07087288796901703,0.981422546871444,0.9749515652656555
4,100000004,success,7,40,0.4189557731151581,0.4115550220012665,0.07238470017910004,0.9823352449379964,0.9841945767402649
4,100000004,success,8,41,0.4421141445636749,0.4370725750923157,0.0739821121096611,0.9885966790853642,0.9782535433769226
7,100000007,success,-4,26,0.1550617665052414,0.005542415659874678,0.21580509841442108,0.0357432769198288,-0.9981481432914734
7,100000007,success,-3,27,0.10131742060184479,0.005542415659874678,0.16288277506828308,0.05470348166141294,-0.9954327344894409
7,100000007,success,-2,28,0.04616418480873108,0.005542415659874678,0.11056691408157349,0.12005877896118367,-1.0061376094818115
7,100000007,success,-1,29,0.013573218137025833,0.00601942976936698,0.07001405954360962,0.4434784520958092,-0.19971336424350739
7,100000007,success,0,30,0.0,0.0,0.06476396322250366,0.0,0.9811931848526001
7,100000007,success,1,31,0.009966421872377396,0.008821059949696064,0.06601303070783615,0.8850779209080263,0.9926784634590149
7,100000007,success,2,32,0.06135191023349762,0.05471162125468254,0.06624090671539307,0.8917672008329818,1.019999384880066
7,100000007,success,3,33,0.13943646848201752,0.1320800483226776,0.06613607704639435,0.9472417779980663,1.0153146982192993
7,100000007,success,4,34,0.2315724492073059,0.2231728434562683,0.06628257781267166,0.9637279573637095,1.04374361038208
7,100000007,success,5,35,0.3137655556201935,0.3035128712654114,0.06659986823797226,0.967323741656357,1.0251892805099487
7,100000007,success,6,36,0.37891626358032227,0.366942822933197,0.0664999783039093,0.9684008267842873,0.9822977781295776
7,100000007,success,7,37,0.41607582569122314,0.40333276987075806,0.06714744120836258,0.9693732367188237,0.9783855676651001
7,100000007,success,8,38,0.426135390996933,0.41482415795326233,0.06756846606731415,0.9734562458724484,0.5831161737442017
8,100000008,success,-4,29,0.11100834608078003,0.01268946286290884,0.17640672624111176,0.11431089022508995,-0.9876350164413452
8,100000008,success,-3,30,0.059196166694164276,0.01268946286290884,0.12187222391366959,0.2143629152284248,-1.0037422180175781
8,100000008,success,-2,31,0.02682715654373169,0.01268946286290884,0.0735039934515953,0.47300811929968783,-0.8020919561386108
8,100000008,success,-1,32,0.01876172237098217,0.008207335136830807,0.06341201812028885,0.43745104924506756,-0.2088090181350708
8,100000008,success,0,33,0.0,0.0,0.061460547149181366,0.0,0.9950491786003113
8,100000008,success,1,34,0.010157989338040352,0.012300577946007252,0.07553596794605255,1.2109264478102162,0.9962306022644043
8,100000008,success,2,35,0.0710306167602539,0.0666058361530304,0.07314979285001755,0.9377060089150253,1.0134556293487549
8,100000008,success,3,36,0.1609375774860382,0.15806953608989716,0.07247639447450638,0.9821791688371234,1.042863130569458
8,100000008,success,4,37,0.2596123516559601,0.25659000873565674,0.07242433726787567,0.9883582468205959,1.0284807682037354
8,100000008,success,5,38,0.3445998430252075,0.3377820551395416,0.0736151859164238,0.9802153482549115,0.9857529401779175
8,100000008,success,6,39,0.3973904252052307,0.3863457441329956,0.07557645440101624,0.9722069773912365,0.9781615138053894
8,100000008,success,7,40,0.4252806007862091,0.41517648100852966,0.07652565836906433,0.9762412869079847,0.978072464466095
8,100000008,success,8,41,0.44943663477897644,0.44169896841049194,0.0773586705327034,0.9827836322860292,0.9514897465705872
10,100000010,success,-4,28,0.1550600379705429,0.005822816863656044,0.21989740431308746,0.037552014947669604,-0.9890812635421753
10,100000010,success,-3,29,0.09654060751199722,0.005822816863656044,0.16258995234966278,0.06031469050919775,-0.9946274757385254
10,100000010,success,-2,30,0.04781276360154152,0.005822816863656044,0.11688128858804703,0.12178373356917424,-1.0061596632003784
10,100000010,success,-1,31,0.013186073862016201,0.005628098733723164,0.0804726779460907,0.4268214172480455,-0.19551792740821838
10,100000010,success,0,32,0.0,0.0,0.07052817940711975,0.0,0.9938725233078003
10,100000010,success,1,33,0.0041085947304964066,0.009771366603672504,0.0756606012582779,2.378274627853576,0.9988046884536743
10,100000010,success,2,34,0.03536144271492958,0.03204099461436272,0.06996052712202072,0.9060997559591941,1.0190755128860474
10,100000010,success,3,35,0.11285683512687683,0.1120314970612526,0.06888442486524582,0.9926868579586131,1.0267605781555176
10,100000010,success,4,36,0.20746907591819763,0.2061755210161209,0.06836430728435516,0.9937650712697697,1.043843388557434
10,100000010,success,5,37,0.296196311712265,0.2923528552055359,0.06872551888227463,0.9870239555499165,0.977290153503418
10,100000010,success,6,38,0.36096397042274475,0.35328009724617004,0.07036785781383514,0.9787129081953091,0.9957741498947144
10,100000010,success,7,39,0.39821943640708923,0.3895724415779114,0.07148765027523041,0.9782858543842188,0.9957877993583679
10,100000010,success,8,40,0.4199013411998749,0.4105168879032135,0.07250871509313583,0.9776508137129423,0.9999902844429016
12,100000012,success,-4,32,0.15900872647762299,0.005751793272793293,0.22082462906837463,0.036172815166862764,-0.988085925579071
12,100000012,success,-3,33,0.10499923676252365,0.005751793272793293,0.16649779677391052,0.054779381737813014,-0.9844614863395691
12,100000012,success,-2,34,0.04536867141723633,0.005751793272793293,0.1116977110505104,0.12677896647879552,-0.7972190380096436
12,100000012,success,-1,35,0.01433605793863535,0.006506963633000851,0.08193888515233994,0.45388792796831073,-0.21861469745635986
12,100000012,success,0,36,0.0,0.0,0.06975385546684265,0.0,0.9833295941352844
12,100000012,success,1,37,0.005627273581922054,0.008469633758068085,0.07568836212158203,1.505104316462821,1.0103647708892822
12,100000012,success,2,38,0.06243371218442917,0.05774499103426933,0.07351646572351456,0.9249008110184229,1.0069444179534912
12,100000012,success,3,39,0.14536291360855103,0.14156903326511383,0.07264620810747147,0.9739006308469176,1.0217483043670654
12,100000012,success,4,40,0.23224544525146484,0.22650916874408722,0.07221196591854095,0.9753008008352256,1.0252587795257568
12,100000012,success,5,41,0.3132469654083252,0.3037526309490204,0.07280686497688293,0.9696905780174799,1.0044481754302979
12,100000012,success,6,42,0.37689387798309326,0.3648989796638489,0.07434654980897903,0.9681743349522317,0.9975442886352539
12,100000012,success,7,43,0.42045530676841736,0.41020190715789795,0.07627899944782257,0.9756135802177736,1.0031545162200928
12,100000012,success,8,44,0.4418325424194336,0.4397026002407074,0.07715380936861038,0.9951792999061073,1.0009491443634033
13,100000013,success,-4,29,0.1298495978116989,0.010480638593435287,0.19485141336917877,0.08071367774764894,-0.9906882047653198
13,100000013,success,-3,30,0.07012196630239487,0.010480638593435287,0.1362648457288742,0.14946298779241937,-0.9946044683456421
13,100000013,success,-2,31,0.022783443331718445,0.010480638593435287,0.08568508177995682,0.4600111774520249,-0.8429964184761047
13,100000013,success,-1,32,0.015740644186735153,0.008268761448562145,0.06603208929300308,0.5253127731284555,-0.20516154170036316
13,100000013,success,0,33,0.0,0.0,0.06438204646110535,0.0,0.9818360209465027
13,100000013,success,1,34,0.007748738396912813,0.00529415113851428,0.07149215042591095,0.6832274968301332,1.0087933540344238
13,100000013,success,2,35,0.06392311304807663,0.06030627712607384,0.0692257434129715,0.9434189646038895,1.0247104167938232
13,100000013,success,3,36,0.15784694254398346,0.1555463820695877,0.06784780323505402,0.9854253719627498,1.0261685848236084
13,100000013,success,4,37,0.25467872619628906,0.24998821318149567,0.06828749924898148,0.9815826273169819,1.024220585823059
13,100000013,success,5,38,0.33362820744514465,0.3237422704696655,0.06954839080572128,0.9703684018471233,1.0145130157470703
13,100000013,success,6,39,0.3920131325721741,0.37765005230903625,0.07129821926355362,0.9633607165941223,0.9976714849472046
13,100000013,success,7,40,0.43119025230407715,0.4141358435153961,0.07412324845790863,0.9604480650999174,0.9977886080741882
13,100000013,success,8,41,0.4454646110534668,0.42985302209854126,0.07710066437721252,0.9649543677150781,0.803085207939148
