equivalence_class,name,evidence,evidence_source,note
E2_relative_edge_shape_scale_free,gap_ratio ~ spectral_erank,internal |Spearman| = 0.9947,moe-circuit-analogy-0906/results/diagnostics/circuit_internal_spearman.csv,gap_ratio / spectral_erank / kirchhoff_efficiency / res_cv are ONE quantity (all pairwise >= 0.992).
E2_relative_edge_shape_scale_free,gap_ratio ~ kirchhoff_efficiency,internal |Spearman| = 0.9949,moe-circuit-analogy-0906/results/diagnostics/circuit_internal_spearman.csv,gap_ratio / spectral_erank / kirchhoff_efficiency / res_cv are ONE quantity (all pairwise >= 0.992).
E2_relative_edge_shape_scale_free,res_cv ~ spectral_erank,internal |Spearman| = 0.9977,moe-circuit-analogy-0906/results/diagnostics/circuit_internal_spearman.csv,gap_ratio / spectral_erank / kirchhoff_efficiency / res_cv are ONE quantity (all pairwise >= 0.992).
E2_relative_edge_shape_scale_free,norm_fiedler ~ gap_ratio,internal |Spearman| = 0.8956,moe-circuit-analogy-0906/results/diagnostics/circuit_internal_spearman.csv,gap_ratio / spectral_erank / kirchhoff_efficiency / res_cv are ONE quantity (all pairwise >= 0.992).
E3_token_arc_order,bandedness (distance-lag correlation),reference member,moe-token-geometry-0906,
E3_token_arc_order,"Robinson property / Spearman(d,|i-j|)","same construct, thresholded",moe-token-geometry-0906 §2,630/632 (task x layer) cells satisfy it.
E3_token_arc_order,pc1_index_corr / PC1 vs token index,r = 0.958-0.998,moe-token-geometry-0906 §2,
E3_token_arc_order,fiedler_index_rho (norm_fiedler VECTOR ordering),schur_normalised median |Spearman| 0.8909-0.9879 across 8 layers,moe-state-channel-0906/results/controller_probes/probe_summary.json,"Same statistic as arc order in the BACK layers only. schur_combinatorial (unnormalised) is 0.3939-0.5515 in the front layers, so the equivalence is layer-dependent, NOT 1.0000 everywhere."
E3_token_arc_order,arc_stretch / neighbour_ratio,declared in moe-state-channel-0906 PREREG as arc-order family,moe-state-channel-0906/results/PREREG.md §A.1,
E4_centred_configuration_size,size (sqrt tr(J C J)),reference member,moe-token-geometry-0906,
E4_centred_configuration_size,centred_energy = 0.9*(1-action_consensus),"algebraic identity on the raw Gram, max abs error 2.29e-08",moe-state-channel-0906/results/formation/formation_summary.json,"Related to E1 by size^2 = 10*conditional_energy - (1/10)*1^T C 1. Not the same quantity, but not independent either."
E4_centred_configuration_size,overlap with conditional_effective_rank / partial_edge_std,|Pearson| up to 0.755 / 0.739 at L12,moe-token-geometry-0906/results/geometry/overlap_with_existing.csv,The geometry bundle itself flags size as not a new quantity.
E5_cross_query_routing_change,mobility (final step),reference member,moe-hb-front-back-0905,
E5_cross_query_routing_change,mobility_step s0..s9,"step-0 vs step-9 within-task correlation only 0.24-0.35 at L2, 0.80-0.88 at L12-L15",moe-flow-semantics-0906 §3,FRONT-LAYER early-step mobility is genuinely a DIFFERENT quantity; back-layer steps are one quantity.
E5_cross_query_routing_change,conditional_query_d1 / partial_query_d1,"declared same ""adjacent_query"" frame",moe-hb-front-back-0905/results/frame_survey/survey.json,
E5_cross_query_routing_change,v7 relative_freeze / mob_ratio,mobility of L12-L15 divided by the rollout own q1-q4 baseline,moe-v7-0905/docs/SURVIVAL_BASELINE_REPORT_ZH.md §5,"Same quantity, rollout-relative reference frame."
E6_expert_load_concentration,expert_load_effective_rank,reference member,moe-hb-front-back-0905,
E6_expert_load_concentration,load_entropy_s9,"effective rank is a strict monotone transform of the entropy; same L3/low/q0.85 winner, same 370/93",moe-flow-semantics-0906 §6 + tests/test_anchors.py,Confirmed identical TP/FP; lift differs only in the 5th decimal (see consistency C03).
S_singletons,flow_settling_log_ratio,distinct denoising-step velocity profile; but collapses to 3 TP under a global threshold,moe-hb-front-back-0905/docs/FRAME_SURVEY_REPORT_ZH.md §2,
S_singletons,token_differentiation,= I(token;expert); no published equivalent found,moe-flow-semantics-0906 §2,
S_singletons,state_mobility_step,"carries ZERO step information (state route is step-invariant); NOT redundant, EMPTY",moe-flow-semantics-0906 §7.4,
S_singletons,n_near_zero / foster_residual / neg_count / neg_mass,"|rho| <= 0.020, near-constant; survival AUC 0.4951-0.5002",moe-circuit-analogy-0906 §6,
